	symbol	period_change	Squeeze Momentum change	change diff	sm last day sig
0	AAPL	-0.6889279071441289	-0.8413801522090507	-0.15245224506492183	Buy
1	MSFT	0.5598443892782793	0.0	-0.5598443892782793	Buy
2	AMZN	-6.848205964153292	5.268317916835179	12.11652388098847	Buy
3	TSLA	-7.8868569259632695	-4.784596421847048	3.102260504116222	Buy
4	GOOGL	-3.3341455912013767	-0.9572668793225894	2.3768787118787875	sell
5	GOOG	-2.9552960825069188	-0.795435755231767	2.159860327275152	sell
6	UNH	2.8939271429801248	-0.7074989243415329	-3.6014260673216576	hold
7	NVDA	-3.52047162546309	3.8159061367823015	7.336377762245391	sell
8	JNJ	-5.1661721828102385	0.0	5.1661721828102385	sell
9	XOM	14.204196379886223	5.020626033465611	-9.183570346420613	Buy
10	META	-12.335135890738616	-0.648923886716424	11.686212004022192	sell
11	V	-0.043620835482085285	2.1430652564769845	2.1866860919590696	sell
12	PG	-12.213976730204694	-4.721537094748899	7.492439635455795	sell
13	JPM	-10.776923736873867	4.0016602880408465	14.778584024914714	sell
14	HD	0.236663818359375	3.0819708780834625	2.8453070597240875	sell
15	CVX	2.189689690915695	3.908456062481244	1.718766371565549	Buy
16	MA	-0.07729873299801393	1.871365678701739	1.948664411699753	sell
17	PFE	3.8453504937581666	-1.0289651681356191	-4.874315661893785	sell
18	LLY	14.869959536154708	0.7054191870810901	-14.164540349073619	sell
19	KO	-5.01492628410681	0.0	5.01492628410681	Buy
20	ABBV	-9.332212148022476	-2.493167872177699	6.839044275844778	sell
21	PEP	1.316320472790755	0.0	-1.316320472790755	Buy
22	COST	-4.707961582451293	2.114012748995854	6.821974331447146	Buy
23	BAC	-10.436428673949578	4.174455502445577	14.610884176395155	sell
24	TMO	7.237092810429486	3.3494368263110372	-3.8876559841184486	hold
25	MRK	3.5701671630267926	-4.223976401627515	-7.794143564654307	sell
26	AVGO	-8.64674699584303	2.9995122584200433	11.646259254263073	sell
27	MCD	4.6502268938224995	0.0	-4.6502268938224995	Buy
28	VZ	-11.686793888132778	-1.2121181295375718	10.474675758595206	sell
29	ADBE	1.050031826440513	1.6551859802125983	0.6051541537720853	Buy
30	DIS	-11.006292856173921	5.306161809293393	16.312454665467314	hold
31	ACN	-2.233428144072869	-1.1060952276662428	1.1273329164066264	Buy
32	ABT	-8.828469242323546	-0.7938711306335754	8.03459811168997	hold
33	CSCO	-12.691938769994815	1.0306934597163635	13.722632229711179	hold
34	DHR	10.052027498636148	6.832303408202133	-3.219724090434015	sell
35	WMT	-15.14996686138692	-4.4601865112772066	10.689780350109714	hold
36	CRM	8.309264330168935	2.8822668062726295	-5.426997523896305	sell
37	CMCSA	-17.040947106557887	-3.9727824383344705	13.068164668223417	sell
38	NEE	15.770267795872044	7.509910828058608	-8.260356967813436	Buy
39	QCOM	11.96313629216559	12.331956228342401	0.36881993617681097	sell
40	WFC	-6.293700522411806	0.0	6.293700522411806	hold
41	TXN	2.4037927428612744	3.7388459992274146	1.3350532563661401	hold
42	AMD	10.49410220467935	4.9318668526920515	-5.562235351987299	Buy
43	BMY	-3.247952408049122	-2.5550870595948947	0.6928653484542275	sell
44	PM	-3.217893426348125	-0.9801158321979019	2.237777594150223	sell
45	INTC	-22.07314642939871	1.064105529202381	23.13725195860109	sell
46	LIN	-4.38804165762315	-3.9650703333657438	0.42297132425740624	Buy
47	NKE	-12.543040708848343	-0.6708058338318514	11.872234875016492	Buy
48	UPS	3.697151431152228	-6.004026272702816	-9.701177703855045	Buy
49	UNP	-4.845401249768097	-0.8506228659165499	3.9947783838515467	Buy
50	RTX	-6.109162310805721	-2.2863714361036256	3.8227908747020956	sell
51	T	-7.132017272454857	3.574924287506743	10.7069415599616	sell
52	AMGN	-2.828568981357116	-2.471700478323939	0.3568685030331773	hold
53	HON	-0.6357414502319203	0.0	0.6357414502319203	Buy
54	SPGI	-1.9801196078735919	-1.426288678659912	0.5538309292136798	Buy
55	LOW	-4.61812025505292	2.83219233169964	7.45031258675256	sell
56	INTU	1.2183258061615805	7.223887729728973	6.0055619235673925	sell
57	CVS	-6.353096842071827	-4.591397712723177	1.7616991293486501	hold
58	AMT	1.7283474528069127	1.4991733695739822	-0.22917408323293054	Buy
59	MDT	-13.244604461633463	2.23995161295071	15.484556074584173	hold
60	COP	1.8387086929813508	3.1371364148616268	1.298427721880276	sell
61	ORCL	0.1968524040503476	-1.4319165012475714	-1.628768905297919	hold
62	IBM	-4.200885916954657	-1.2952717519904253	2.9056141649642315	sell
63	MS	-0.5950255947441343	4.718190084199654	5.313215678943789	hold
64	GS	3.6348694046767	9.56181328013567	5.926943875458971	sell
65	ELV	-5.5719970703125	-9.076964566568655	-3.504967496256155	sell
66	CAT	-14.769403842059802	2.460478862399774	17.229882704459577	Buy
67	SCHW	-2.9593413884949915	0.0	2.9593413884949915	Buy
68	PYPL	5.045415129387203	13.975249882712001	8.929834753324798	sell
69	ADP	7.819150016317202	-1.1016152191997535	-8.920765235516956	Buy
70	C	-0.05907597482870672	15.032102544928014	15.09117851975672	sell
71	NFLX	3.5592351607721584	15.188458625906742	11.629223465134583	sell
72	LMT	-3.2099325554634595	-2.7406237140918672	0.46930884137159223	sell
73	SBUX	8.180411030933557	2.0168818560661457	-6.163529174867412	sell
74	PLD	-23.499500532040976	5.451608473254789	28.951109005295766	sell
75	BLK	0.8874731879292185	1.7892507654277578	0.9017775774985394	Buy
76	DE	-14.982267833040899	0.0	14.982267833040899	Buy
77	AMAT	-5.762503893107126	1.263707281332361	7.026211174439487	sell
